question,answer
Quelles précautions prendre avant l'achat d'un terrain situé dans un lotissement ?,"Vérifié le 06 juillet 2022 - Direction de l'information légale et administrative (Premier ministre) Il est conseillé d'effectuer quelques vérifications avant d'acheter un terrain en lotissementUn lotissement est constitué par la division en propriété ou en jouissance d'une parcelle ou de plusieurs parcelles contiguës. Cette division a pour objet de créer un ou plusieurs lots destinés à être bâtis.. Vous devez vous assurer que le terrain vendu remplit les 3 caractéristiques suivantes : Si vous n'avez pas effectué ces vérification, vous pouvez constater, après l'achat, que la parcelle est inconstructible ou n'est pas viabilisée ou délimitée. Vous pourrez exercer un recours devant le tribunal judiciaire pour demander la nullité de la vente. L'avocat est obligatoire. Il est recommandé de prendre des renseignements sur l'urbanisme. Vous devez vous assurer que le lotisseur a bien obtenu l'une des 2 autorisations d'urbanisme suivantes pour créer le lotissementUn lotissement est constitué par la division en propriété ou en jouissance d'une parcelle ou de plusieurs parcelles contiguës. Cette division a pour objet de créer un ou plusieurs lots destinés à être bâtis. : À savoir   tous les lotissements situés dans le périmètre d'un site patrimonial remarquable, dans les abords des monuments historiques, dans un site classé ou en instance de classement font l'objet d'un permis d'aménager. Vous pouvez demander à la mairie un certificat d'urbanisme opérationnel. Il vous renseignera sur la faisabilité de votre projet. Il vous indiquera les taxes et participations d'urbanisme applicables au terrain et l'état des équipements publics existants ou prévus. Le  PLU : PLU : plan local d'urbanisme ou le document qui en tient lieu est consultable auprès du service urbanisme de votre mairie et, en principe, sur le site internet de votre commune. Le PLU : PLU : plan local d'urbanismedonne les précisions suivantes : Le règlement de lotissementRègles d'urbanisme que doivent respecter les futures constructions en lotissement (emploi d'un certain type de matériaux, couleurs...), s'il en a été établi un, vous fournira les règles d'urbanisme que doivent respecter les futures constructions à l'intérieur du lotissement (destination des constructionsCorrespond à ce pour quoi un immeuble a été construit. Par exemple : usage d'habitation, usage professionnel ou usage mixte (immeuble d'habitation abritant également des locaux professionnels)., implantation des bâtiments, matériaux et couleurs...). Pour connaître les droits et les obligations des colotis entre eux, vous devez consulter le cahier des chargesInformations sur les règles de vie collective en lotissement (répartition des charges, entretien des espaces verts, stationnement...) du lotissement, s'il en a été établi un. Vous trouverez des renseignement sur les charges, les servitudes privées, les obligations d'entretien extérieur, les plantations, le séchage du linge... Tous ces documents sont consultables auprès du service urbanisme de la commune où se situe le lotissement. Quelles règles doit respecter le vendeur d'un terrain situé en lotissement ? Quelles différences entre un terrain isolé et un terrain en lotissement ? L'avocat est-il obligatoire dans un procès civil ?"
Adoption : comment faire une demande d'agrément ?,"Vérifié le 01 janvier 2023 - Direction de l'information légale et administrative (Premier ministre) Pour adopter un enfant pupille de l'État ou remis à un organisme autorisé pour l'adoption ou un enfant étranger qui n'est pas celui de l'époux, du partenaire de Pacs ou du concubin, vous devez obtenir un agrément. Il est délivré par le service d'aide sociale à l'enfance (ASE) de votre département. L'agrément permet de s'assurer des conditions d'accueil. Il est accordé pour une durée de 5 ans. La décision de refus d'agrément peut être contestée. Vous avez une question ? Vous souhaitez être accompagné(e) dans vos démarches ? Comment adopter un enfant à l'étranger ? L'avocat est-il obligatoire dans un procès civil ?"
Adoption simple et adoption plénière : quelles différences ?,"Vérifié le 01 janvier 2023 - Direction de l'information légale et administrative (Premier ministre) Les 2 formes d'adoption diffèrent sur un certain nombre de sujets : liens avec la famille d'origine, autorité parentale, nom de la personne adoptée, héritage,... Sujet Adoption simple Adoption plénière Lien avec la famille d'origine L'adopté conserve tous ses liens avec sa famille d'origine. L'adopté acquiert une nouvelle filiationLien juridique entre un enfant et son père et/ou sa mèreLien juridique entre un enfant et son père et/ou sa mère qui remplace celle d'origine. Autorité parentale L'autorité parentaleEnsemble de droits et de devoirs ayant pour finalité l'intérêt de l'enfant. Elle appartient aux parents ou à une tierce personne sur décision du juge, jusqu'à la majorité ou l'émancipation de l'enfant. Elle sert à protéger l'enfant dans sa sécurité, sa santé et sa moralité, pour assurer son éducation et permettre son développement, dans le respect dû à sa personne. est exclusivement et intégralement attribuée au(x) parent(s) adoptif(s), sauf s'il s'agit de l'adoption d'un enfant de l'époux, du partenaire de Pacs ou du concubin. Dans ce cas, ce dernier conserve seul l'exercice de l'autorité parentale sauf déclaration conjointe devant le directeur de greffe du tribunal judiciaire. L'autorité parentale est exclusivement et intégralement attribuée au(x) parent(s) adoptif(s). En cas d'adoption de l'enfant de l'époux, du partenaire de Pacs ou du concubin, elle est exercée en commun. Obligation alimentaire Le (les) adoptant(s) doit(vent) des alimentsSomme versée par une personne à un proche parent (père, mère, grands-parents ou enfants) pour lui permettre d'assurer les besoins nécessaires à sa vie quotidienne à l'adopté et réciproquement. Le(s) parent(s) biologique(s) de l'adopté ne sont obligés de lui fournir des aliments que s'il ne peut les obtenir de l'adoptant. L'adopté ne doit pas d'aliments à ses parents biologiques s'il a été admis comme pupille de l'État ou pris en charge par l’aide sociale. L'adoptant doit des aliments à l'adopté et réciproquement. Nom de l'adopté Le nom de l'adoptant s'ajoute au nom de l'adopté ou le remplace. Sous certaines conditions, le nom d'origine peut être conservé. L'adopté prend automatiquement le nom de l'adoptant Prénom de l'adopté Il est possible de demander au juge un changement de prénom de l'adopté Il est possible de demander au juge un changement de prénom de l'adopté Nationalité L'adoption simple ne permet pas à l'enfant adopté de devenir français. Le(s) parent(s) adoptif(s) de l'enfant doit(vent) la demander en faisant une déclaration. L'adopté majeur doit demander sa naturalisation pour devenir français. L'enfant adopté pendant sa minorité devient automatiquement français dès lors que l'un des parents (adoptant) est de nationalité française. Il est considéré comme français dès sa naissance. Droit à la succession L'adopté hérite des 2 familles : de sa famille d'origine et de sa famille adoptive. L'adopté ne bénéficie pas des droits de mutationSommes payées auprès des services fiscaux lors d'un transfert de propriété (pour une vente), ou gratuit (pour une succession ou donation) gratuits dans sa famille adoptive. Il paie les mêmes droits que les personnes sans lien de parenté (60 %) sauf dans certains cas (enfant du conjoint, pupille de l'État ...). Il n'est pas héritier réservataireEnfant, ou en l'absence d'enfant, l'époux, à qui la loi attribue une part d'héritage minimale à l’égard de ses grands-parents adoptifs (ceux-ci peuvent le déshériter) L'enfant adopté hérite de ses parents adoptifs. Il est héritier réservataire. Il n'hérite pas de sa famille d'origine. Révocation L'adoption simple peut être révoquée par jugement pour motifs graves. L'adoption plénière est irrévocableDéfinitif, sur lequel on ne peut revenirDéfinitif, sur lequel on ne peut revenirDéfinitif, sur lequel on ne peut revenir Vous avez une question ? Vous souhaitez être accompagné(e) dans vos démarches ? L'avocat est-il obligatoire dans un procès civil ?"
Comment adopter un enfant à l'étranger ?,Vérifié le 01 janvier 2023 - Direction de l'information légale et administrative (Premier ministre) Publié le 22 mai 2023 Les procédures d'adoption internationale par toute personne résidant en France sont suspendues : Adoption : comment faire une demande d'agrément ? Adoption simple et adoption plénière : quelles différences ? L'avocat est-il obligatoire dans un procès civil ?
"Quelles sont les différences entre les aides personnelles au logement (APL, ALF, ALS) ?","Vérifié le 05 mars 2024 - Direction de l'information légale et administrative (Premier ministre) Il existe 3 types d'aides personnelles au logement : Ces aides visent à diminuer le montant de votre loyer (ou redevance si vous résidez en foyer). Ces aides se distinguent par leurs conditions d'attribution et non par leur mode de calcul. Leur montant dépend notamment des ressources de votre foyer. Attention   Ces aides ne sont pas cumulables entre elles. Répondez aux questions successives et les réponses s’afficheront automatiquement 
      Vous avez choisi
     Choisissez votre cas Vous avez une question ? Vous souhaitez être accompagné(e) dans vos démarches ? Comment recourir au médiateur de la Caf ou de la MSA ? Un étudiant peut-il toucher une aide au logement (APL, ALS, ALF) ? Impôt sur le revenu - Faut-il déclarer les aides sociales et les aides versées par l'employeur ?"
"Un étudiant peut-il toucher une aide au logement (APL, ALS, ALF) ?","Vérifié le 11 février 2022 - Direction de l'information légale et administrative (Premier ministre) Oui. Si vous êtes étudiant, vous pouvez toucher une aide au logement si vous respectez les 4 conditions suivantes : En cas de colocation, vous pouvez toucher une aide au logement. Le loyer pris en considération pour le calcul de l'aide est alors divisé en fonction du nombre de colocataires. Chaque colocataire doit faire sa propre demande d'aide au logement. Pour avoir une estimation du montant de l'aide au logement que vous pouvez toucher, vous pouvez utiliser un simulateur : Caf : estimer son droit aux allocations logement et calculer son montant Attention   si vos parents touchent des allocations familiales et que vous touchez une aide au logement, vous ne serez plus considéré à la charge de vos parents. Leurs prestations peuvent diminuer, voire être supprimées. Vous devez donc choisir entre toucher une aide au logement ou rester à la charge de vos parents. Votre demande d'aide au logement doit être faite en ligne : Aide au logement étudiant : demande en ligne Il est recommandé de faire votre demande d'aide au logement dès votre entrée dans lieux dans le logement. Selon la nature du logement et selon votre situation familiale, 3 types d'aides au logement peuvent vous être accordées : Pour en savoir plus, vous pouvez contacter le numéro dédié aux aides au logement étudiant : ""Numéro d'urgence:""Aide au logement étudiant (APL, ALS, ALF)Aide au logement étudiant (APL, ALS, ALF) Permet aux étudiants d'obtenir des informations sur les aides au logement (APL, ALS, ALF). Par téléphone 09 69 32 52 52 Ouvert du lundi au vendredi de 9h à 16h30. Prix d'un appel local depuis un téléphone fixe. Surcoût éventuel depuis un mobile selon les opérateurs. Le 1er paiement de l'aide au logement est généralement effectué 2 mois après la demande. Exemple : Si vous faites votre demande en ligne en février, votre droit sera ouvert en mars et vous recevrez votre 1er paiement début avril. Vous avez une question ? Vous souhaitez être accompagné(e) dans vos démarches ? Qu'est-ce qu'un enfant à charge pour les prestations familiales ? Aide au logement : qu'est-ce que l'aide MOBILI-JEUNE ? Peut-on encore toucher l'aide Mon job, Mon logement ?"
Les aides personnelles au logement sont-elles maintenues en cas de loyers impayés ?,"Vérifié le 01 janvier 2024 - Direction de l'information légale et administrative (Premier ministre) Publié le 28 juillet 2023 La procédure en cas d'impayés de loyer est modifiée. C'est ce qu'indique la loi du 27 juillet 2023 visant à protéger les logements contre l'occupation illicite. Un décret doit paraître pour préciser le dispositif. Les informations contenues dans cette page restent d'actualité et seront modifiées dès l'entrée en vigueur du texte. En cas de loyers impayés, l'aide personnelle au logement (APL, ALS et ALF) peut être maintenue pour alléger une dette de loyer et éviter l'expulsion. La situation varie selon que l'aide est versée au bailleur ou au locataire. Vous avez une question ? Vous souhaitez être accompagné(e) dans vos démarches ? Quelle aide apporte le Fonds de solidarité pour le logement (FSL) ?"
"Peut-on toucher l'APL, l'ALF ou l'ALS si le logement appartient à sa famille ?","Vérifié le 19 mars 2024 - Direction de l'information légale et administrative (Premier ministre) Selon le lien de parenté que vous avez avec le propriétaire du logement, vous pouvez toucher ou non une aide personnelle au logement (APL, ALF, ALS). Répondez aux questions successives et les réponses s’afficheront automatiquement 
      Vous avez choisi
     Choisissez votre cas Vous avez une question ? Vous souhaitez être accompagné(e) dans vos démarches ? Quelles sont les différences entre les aides personnelles au logement (APL, ALF, ALS) ? Un étudiant peut-il toucher une aide au logement (APL, ALS, ALF) ? Les aides personnelles au logement sont-elles maintenues en cas de loyers impayés ? Voir toutes les situations "
Aide au logement : qu'est-ce que l'aide MOBILI-JEUNE ?,"Vérifié le 28 février 2024 - Direction de l'information légale et administrative (Premier ministre) Vous avez moins de 30 ans et êtes en contrat d'apprentissage ou de professionnalisation dans une entreprise du secteur privé non agricole ? Sous certaines conditions, vous pouvez bénéficier de l'aide MOBILI-JEUNE. Elle permet de prendre en charge une partie de votre loyer (ou redevance notamment pour les logements-foyer) pendant la durée de votre formation en alternance. Nous vous présentons les informations à connaître. Demande d'aide MOBILI-JEUNE Vous avez une question ? Vous souhaitez être accompagné(e) dans vos démarches ? Peut-on toucher l'APL, l'ALF ou l'ALS si le logement appartient à sa famille ? Un étudiant peut-il toucher une aide au logement (APL, ALS, ALF) ?"
Doit-on assurer son animal de compagnie ?,"Vérifié le 22 décembre 2023 - Direction de l'information légale et administrative (Premier ministre) Tout dépend s'il s'agit d'un chien susceptible d'être dangereux ou d'un autre animal de compagnieTout animal détenu ou destiné à être détenu par l'homme pour son agrément. Répondez aux questions successives et les réponses s’afficheront automatiquement 
      Vous avez choisi
     Choisissez votre cas Animal domestique, sauvage, apprivoisé, de compagnie : quelles différences ? Que faire si vous avez perdu votre animal de compagnie ? Que faire en cas de morsure par un chien ? Que faire si vous trouvez un chien ou un chat errant ?"
Que faire en cas de morsure par un chien ?,Vérifié le 17 mars 2023 - Direction de l'information légale et administrative (Premier ministre) Vous avez été mordu par un chien ? Nous vous expliquons les démarches que vous pouvez effectuer et celles que doit effectuer le propriétaire ou le détenteur du chien. Que faire lorsque son animal de compagnie est mort ? Comment signaler une maltraitance animale et quelles sont les sanctions ?
Que faire si vous avez perdu votre animal de compagnie ?,"Vérifié le 30 novembre 2023 - Direction de l'information légale et administrative (Premier ministre) Vous avez perdu votre animal de compagnie ? Vous pouvez déclarer sa perte à l'I-cad ou à l'Ifap et établir un périmètre de recherche autour de chez vous. Nous vous détaillons ces démarches. Répondez aux questions successives et les réponses s’afficheront automatiquement 
      Vous avez choisi
     Choisissez votre cas Que faire si vous trouvez un chien ou un chat errant ? Doit-on assurer son animal de compagnie ?"
Comment signaler une maltraitance animale et quelles sont les sanctions ?,"Vérifié le 12 octobre 2023 - Direction de l'information légale et administrative (Premier ministre), Ministère chargé de la justice Les maltraitances envers un animal domestique ou un animal sauvage apprivoisé ou tenu en captivité peuvent être signalées à la police ou à la gendarmerie, aux services vétérinaires de la DDPP : DDPP : Direction départementale de la protection des populations ou à une association de protection animale. Elles sont punies par le code pénal. Si vous êtes témoin d’un acte de maltraitance animale, vous pouvez le signaler en ligne Publié le 12 octobre 2023 Voir toutes les actualités "
Que faire si vous trouvez un chien ou un chat errant ?,"Vérifié le 23 octobre 2023 - Direction de l'information légale et administrative (Premier ministre) Si l'animal se laisse approcher et s'il ne porte pas de collier comportant le numéro de téléphone ou l'adresse de son détenteur, plusieurs démarches sont possibles. Que faire en cas de morsure par un chien ? Que faire si vous avez perdu votre animal de compagnie ? Doit-on assurer son animal de compagnie ?"
Que faire lorsque son animal de compagnie est mort ?,"Vérifié le 14 novembre 2023 - Direction de l'information légale et administrative (Premier ministre) Votre animal de compagnie vient de mourir et vous vous demandez que faire de sa dépouille. Les animaux de petite taille (chats, chiens, etc.) doivent être incinérés. Il existe également quelques cimetières animaliers. Les équidés peuvent être incinérés ou, comme les autres animaux, confiés à une entreprise d'équarrissage. Nous vous détaillons la réglementation. Jeter la dépouille d'un animal dans une poubelle, un égout ou tout autre lieu est interdit et peut être puni d'une amende de 3 750 €. Il est également interdit d'enterrer soi-même un animal, notamment dans son jardin. Répondez aux questions successives et les réponses s’afficheront automatiquement 
      Vous avez choisi
     Choisissez votre cas Comment signaler une maltraitance animale et quelles sont les sanctions ? Doit-on assurer son animal de compagnie ? Que faire si vous avez perdu votre animal de compagnie ? Que faire si vous trouvez un chien ou un chat errant ?"
Un particulier peut-il donner ou vendre des chiens et des chats ?,"Vérifié le 22 mars 2024 - Direction de l'information légale et administrative (Premier ministre) Vous envisagez de céder un chien ou un chat ? En tant que particulier, vous pouvez donner un chaton ou un chat adulte ou un chiot ou un chien adulte. Vous ne pouvez vendre qu'occasionnellement un chat ou un chien adulte. Vous ne pouvez pas vendre d’animal en ligne. Vous ne pouvez pas vendre de chiots et chatons dont vous possédez la mère. Cela est réservé aux éleveurs. Nous vous présentons cette réglementation. Vous pouvez donner, c'est-à-dire sans aucune contrepartie financière, un chaton ou un chat adulte ou un chiot ou un chien adulte. À savoir   Un mineur ne peut acquérir (gratuitement ou moyennant paiement) un animal qu'avec le consentement de ses parents ou des personnes exerçant l'autorité parentaleEnsemble de droits et de devoirs ayant pour finalité l'intérêt de l'enfant. Elle appartient aux parents ou à une tierce personne sur décision du juge, jusqu'à la majorité ou l'émancipation de l'enfant. Elle sert à protéger l'enfant dans sa sécurité, sa santé et sa moralité, pour assurer son éducation et permettre son développement, dans le respect dû à sa personne.. Vous avez une question ? Vous souhaitez être accompagné(e) dans vos démarches ? Comment signaler une maltraitance animale et quelles sont les sanctions ? Que faire si vous avez perdu votre animal de compagnie ?"
Comment avoir l'agrément pour devenir assistante maternelle ?,"Vérifié le 09 septembre 2022 - Direction de l'information légale et administrative (Premier ministre) Pour devenir assistante maternelle agréée (assistant maternel agréé), vous devez obtenir un agrément. Vous devez faire cette demande auprès des services du département. Le département organise et finance votre formation. Vous devez accepter la publication de certaines données (coordonnées) sur un site internet dédié. Vous pouvez exercer à domicile ou au sein d'une Mam : Mam : Maison d'assistantes maternelles. L'agrément est accordé pour une durée de 5 ans, renouvelable. Voir toutes les situations "
Comment faire garder son enfant dans une maison d'assistantes maternelles ?,"Vérifié le 12 décembre 2023 - Direction de l'information légale et administrative (Premier ministre) Chaque parent qui emploie une assistante maternelle pour l'accueil de son enfant dans une Mam : Mam : Maison d'assistantes maternelles peut autoriser l'assistante maternelle à déléguer cet accueil à une ou plusieurs assistantes maternelles. Elles doivent exercer dans la même Mam : Mam : Maison d'assistantes maternelles. Les 3 conditions suivantes doivent être respectées : L'assistante maternelle qui accepte une délégation d'accueil doit respecter les 3 conditions suivantes : À savoir   La délégation d'accueil n'entraîne pas de surcoût pour le parent employeur. Par ailleurs, il touche le complément de libre choix du mode de garde de la prestation d'accueil du jeune enfant (Paje) dans les conditions habituelles. Vous avez une question ? Vous souhaitez être accompagné(e) dans vos démarches ? Comment avoir l'agrément pour devenir assistante maternelle ? Voir toutes les situations "
Voiture de location : faut-il prendre une assurance ?,"Vérifié le 02 février 2024 - Direction de l'information légale et administrative (Premier ministre) Non, car la société de location a l'obligation d'assurer les véhicules loués avec la garantie obligatoire responsabilité civile. Le prix de cette assurance est compris dans le coût de la location. De plus, la société de location doit vous fournir les documents justificatifs concernant l'assurance responsabilité civile. Mais sachez que l'assurance responsabilité civile vous couvre uniquement pour les dommages que vous pouvez causer à une tierce personne. Elle ne vous couvre pas pour les blessures que vous pourriez subir en tant que conducteur, ni pour les dommages matériels du véhicule ou pour le vol. C'est pourquoi les sociétés de location proposent des assurances complémentaires négociées avec leurs assureurs partenaires pour couvrir ces risques. Ces assurances complémentaires sont facultatives et la société de location doit vous fournir les éléments d'information pour vous permettre de bien choisir : Avant de signer le contrat de location, vous devez bien le lire et vérifier les assurances contenues dans le prix de base et les assurances facultatives que vous avez choisies. À noter   Si vous devez circuler avec la voiture hors de France, même pour un court déplacement, vous devez vérifier si l'assurance vous couvrira. Dans le cas contraire, vous devrez prendre une assurance facultative spéciale. Si vous n'avez pas souscrit d’assurance facultative supplémentaire, vous pouvez être obligé de prendre en charge certaines dépenses en cas d'accident ou de vol : En revanche, si vous causez un dommage à autrui, l'assurance responsabilité civile prendra en charge l'indemnisation. Si vous n'avez pas souscrit d’assurance facultative supplémentaire et que la voiture est volée, la société de location peut vous réclamer le remboursement de sa valeur à neuf. Les assurances complémentaires peuvent vous couvrir pour des risques bien définis non couverts par la garantie responsabilité civile : dommages du véhicule, blessures du conducteur, vol du véhicule, assistance. Au moment de la location, la société doit vous fournir les informations suivantes concernant les assurances facultatives : Vous devez bien lire le contrat de location et vérifier les garanties proposées dans les assurances facultatives, de même que leurs conditions d'application. Si vous souscrivez certaines de ces assurances facultatives, la société de location doit vous fournir les documents justificatifs de cette souscription. En cas de sinistre, l'assurance prendra en charge l'indemnisation, mais elle peut vous demander de payer une franchise si c'est prévu dans le contrat. Vous avez une question ? Vous souhaitez être accompagné(e) dans vos démarches ? Doit-on assurer une voiture en leasing (ou crédit-bail ou location avec option d'achat) ?"
Un véhicule doit-il être assuré même s'il n'est pas utilisé ?,"Vérifié le 01 avril 2024 - Direction de l'information légale et administrative (Premier ministre) Oui, l'assurance est obligatoire pour le véhicule que vous n'utilisez plus. Toutefois, il y a une exception si le véhicule n'est pas en état de circuler. Répondez aux questions successives et les réponses s’afficheront automatiquement 
      Vous avez choisi
     Choisissez votre cas Vous avez une question ? Vous souhaitez être accompagné(e) dans vos démarches ?"
