,Question,Reponse
30,['Recommandez-vous des Channel\xa0Managers en particulier\xa0?'],"['Pour vous aider à choisir la solution qui répondra le mieux à vos besoins, nous avons répertorié les meilleurs fournisseurs de connectivité d’Expedia\xa0Group à travers notre Connectivity Partner Program, qui leur accorde la classification Elite ou Preferred.', 'Elite Connectivity Partners\xa0: groupe exclusif des fournisseurs de connectivité d’Expedia\xa0Group les plus performants. Ces fournisseurs offrent une connexion optimale à Expedia\xa0Group et un éventail complet de fonctionnalités.\xa0\xa0\nPreferred Connectivity Partners\xa0: fournisseurs de connectivité de qualité, reconnus pour leurs systèmes avancés, leur large gamme de produits et leur excellente connexion à Expedia\xa0Group\xa0\nConsultez notre liste des fournisseurs de connectivité des groupes Elite et Preferred']"
31,"['Je possède un Channel manager, mais impossible de le connecter à Expedia\xa0Group. Pouvez-vous m’aider\xa0?']","['Oui. Pour que nous puissions vous aider à connecter votre hébergement à votre Channel manager actuel, envoyez-nous un e-mail à rollout@expedia.com.']"
32,"['Les avis voyageurs apparaîtront-ils sur tous les sites d’Expedia\xa0Group, ou uniquement sur le site utilisé par le voyageur pour effectuer sa réservation\xa0?']","['Nous vous recommandons de visionner cette vidéo pour découvrir comment les avis voyageurs fonctionnent sur les sites d’Expedia\xa0Group. Les avis recueillis apparaîtront d’abord sur le site de réservation, Hotels.com ou Expedia.fr par exemple, et seront publiés sur l’ensemble de nos plates-formes au bout de 90\xa0jours.']"
33,['Pouvez-vous me conseiller pour répondre à des avis clients négatifs\xa0?'],"['Tout à fait\xa0! Vous disposez à la fois de conseils vous permettant de recueillir directement les inquiétudes de vos clients pendant leur séjour et de répondre aux avis négatifs. Les commentaires pendant le séjour resteront privés, tandis que les avis post-séjour des clients seront accessibles aux autres voyageurs une fois validés. Savoir accuser réception d’avis peu satisfaits, voire partager les solutions apportées pour remédier aux problèmes qu’ils soulèvent, contribuera à soigner votre réputation en ligne.', '\xa0']"
34,"['Existe-t-il d’autres façons d’utiliser l’Aperçu des avis voyageurs, au-delà d’identifier des tendances dans les évaluations de mes clients\xa0?']","['Oui. Pour en savoir plus sur l’Aperçu clients, nous vous recommandons de consulter cet article. Vous y découvrirez comment identifier des opportunités de croissance sur des pays spécifiques, et comment cibler les voyageurs de ces pays en utilisant TravelAds ou en créant des promotions.\xa0']"
35,['Est-il possible d’afficher les avis voyageurs recueillis par Expedia Group sur le site Internet de mon hébergement\xa0?'],"['Bien sûr. Pour télécharger et utiliser notre widget d’avis voyageurs sur votre site, il vous suffit de suivre ces instructions étape par étape.']"
36,['Les avis voyageurs influencent-ils mon classement sur vos sites de voyage\xa0?'],"['Pour identifier les hébergements offrant une expérience client de qualité, nous nous intéressons à de nombreux critères, dont les avis voyageurs. Pour évaluer ces critères, nous prenons en compte votre note moyenne au fil du temps et nous classons vos avis par ordre d’importance selon leur date de publication, du plus récent au plus ancien. Ainsi, vous constaterez que vos efforts en vue d’améliorer votre hébergement porteront leurs fruits plus rapidement.', 'Ces critères de mesure de l’expérience client sont affichés sur la page Performance de visibilité dans Partner Central. Des notes liées à l’arrivée à celles concernant la propreté, ces critères influencent l’ordre d’apparition de votre hébergement dans les résultats de recherche. Pour en savoir plus sur l’expérience client et sur les facteurs de visibilité, consultez cet article.']"
37,['Est-il possible d’utiliser plus d’un programme marketing à la fois\xa0?'],"['Absolument\xa0! Nos programmes marketing sont conçus pour être utilisés ensemble et comme des outils autonomes.\xa0Imaginons, par exemple, que vous gérez un hébergement\xa0VIP Access\xa0: vous pourriez utiliser simultanément une promotion formule, afin d’attirer des voyageurs qui planifient leur séjour longtemps à l’avance, et une offre pour le jour même afin de compenser les annulations de dernière minute.']"
38,['Qu’est-ce qu’un bon budget TravelAds\xa0?'],"['Vous pouvez commencer doucement, avec un coût par clic de 0,50 $ et un budget journalier léger, avant d’affiner votre programme en fonction de ce qui vous convient. Notre équipe Media Solutions se tient à votre disposition pour répondre à vos questions\xa0; si vous vous sentez prêt à sauter le pas, vous pouvez\xa0vous inscrire pour créer votre compte.']"
39,['Existe-t-il des restrictions sur les promotions\xa0?'],"['Non. Cependant, nous vous invitons à consulter les directives applicables aux promotions avant de commencer à en utiliser. Vous pourrez ensuite participer à nos campagnes ou promotions en cours, voire créer les vôtres, librement.']"
40,['Quand devrais-je faire usage d’un Accelerator\xa0?'],"['Les stratégies d’utilisation d’Accelerator varient selon les besoins commerciaux. Certains de nos partenaires font preuve de beaucoup de précision en utilisant un Accelerator seulement lorsqu’ils ont des chambres à occuper. D’autres choisissent d’exploiter un Accelerator sur une période plus étendue, en le combinant à une promotion ciblant une audience spécifique (les voyageurs qui réservent en avance, par exemple). Il est assez simple de tester un Accelerator, pour apprendre et affiner votre approche marketing de façon à ce qu’elle vous convienne.']"
41,['Est-il facile de prendre et de télécharger des photos avec l’application Partner Central\xa0?'],"['Oui. Pour télécharger des photos sur un appareil Android ou iOS, suivez nos instructions simples.\xa0Pour savoir comment prendre de belles photos avec un smartphone, téléchargez notre guide.']"
42,['L’appli me permet-elle de faire les mêmes choses que dans Partner Central\xa0? '],"['L’appli Partner\xa0Central est très efficace et met à votre disposition un flux de notifications très pratique quand vous êtes en déplacement\xa0: vous restez ainsi informé des réservations et annulations et pouvez intervenir sur la base des réservations, des détails de performance de votre hébergement et des commentaires pendant le séjour des voyageurs.\xa0 Vous pourriez cependant préférer disposer de l’écran d’un ordinateur pour vous occuper des tâches qui exploitent plus de données.\xa0']"
43,['Puis-je utiliser l’application mobile si j’ai un Channel Manager\xa0?'],['Bien sûr\xa0!\xa0 Vous pouvez utiliser l’appli Partner\xa0Central de la même manière que vous pouvez utiliser Partner\xa0Central sur un ordinateur si vous disposez d’un Channel Manager.']
44,['Pourquoi devrais-je consacrer du temps à mon annonce\xa0?'],"['Les détails que vous partagez sur votre hébergement (ses types d’équipements, ses services, ses politiques et sa proximité avec des sites d’intérêt) permettent aux voyageurs en quête d’un lieu de séjour répondant à leurs besoins spécifiques de voir votre annonce lorsqu’ils affinent leur recherche. En agrémentant votre annonce de photos et d’informations de qualité sur votre région, vous aidez les voyageurs à se projeter dans votre hébergement et les encouragez à réserver.', 'Si votre annonce propose un contenu complet, précis et intéressant, les voyageurs disposeront des informations nécessaires pour décider de réserver ou non. En effet, en cherchant à leur offrir une expérience exceptionnelle, de la planification au séjour, vous permettez à votre hébergement d’apparaître plus haut dans les résultats de recherche et vous gagnez en visibilité auprès d’eux. Pour découvrir comment le contenu de votre annonce influence votre classement, cliquez ici.']"
45,['Comment puis-je améliorer le contenu de mon annonce\xa0?'],"['Lisez notre article intitulé «\xa06\xa0conseils pour améliorer votre annonce\xa0».', 'Pour obtenir des conseils plus spécifiques à votre hébergement, consultez les recommandations de la section Score de contenu dans Partner\xa0Central. Cette section vous permet de vérifier la qualité de votre annonce sur nos sites Web, en comparant votre contenu à celui d’hébergements similaires sur votre marché.']"
46,['Comment puis-je vérifier si mon annonce bénéficie d’une bonne visibilité\xa0?'],"['Ce qui détermine votre visibilité et vos performances sur notre plate-forme, c’est l’expérience que vous proposez à vos voyageurs, de la réservation au séjour. Pour déterminer quels facteurs influencent votre visibilité dans les résultats de recherche, cliquez ici.']"
47,['Quel est l’intérêt de suivre mon score de contenu\xa0?'],"['Pour savoir comment améliorer votre score de contenu, accédez à ces instructions étape par étape. Votre score de contenu permet de confirmer la qualité de votre annonce sur les sites d’Expedia\xa0Group, en comparant votre contenu à celui d’établissements similaires sur votre marché.\xa0Une annonce complète et fiable contribue également à améliorer l’expérience proposée à vos voyageurs. En effet, en cherchant à leur offrir une expérience exceptionnelle, de la planification au séjour, vous permettez à votre établissement d’apparaître plus haut dans les résultats de recherche et vous gagnez en visibilité auprès d’eux.']"
48,['En quoi mon score de photos est-il important\xa0?'],"['Visionnez notre vidéo sur le téléchargement de photos ou suivez ces instructions. Votre score de photos permet de déterminer si votre galerie contient le type d’images que les voyageurs recherchent, indique si leur quantité et leur qualité sont appropriées, et met en avant les points à améliorer afin de renforcer l’engagement des clients.']"
49,['Les points d’intérêt sont-ils vraiment importants\xa0?'],['Oui. Suivez ces conseils pour\xa0ajouter des lieux d’intérêt et des sites à votre annonce. Il n’est pas rare que les voyageurs aient une liste des choses qu’ils souhaitent voir et faire\xa0: ils filtrent leurs recherches d’hébergement en conséquence pour trouver un établissement proche de ces sites d’intérêt et activités. Les points d’intérêt permettent de faire ressortir votre établissement dans les recherches de proximité et permettent aux voyageurs de réserver leur séjour en toute confiance.\xa0']
50,['Quel est l’intérêt des opportunités Rev+\xa0?'],"['Rev+ est un outil gratuit (accessible sans abonnement) dont le flux de données vous fournit un aperçu en temps réel du taux d’occupation, de la compression et de la tarification de vos concurrents. Contrairement aux autres outils, Rev+ vous renseigne sur les conditions de marché du jour, de la semaine, du mois et de l’année à venir.', 'Découvrez toutes les opportunités qui s’offrent à vous avec Rev+ dans Partner\xa0Central.']"
51,['À quelle fréquence dois-je ajuster mon ensemble concurrentiel\xa0?  '],"['Vous pouvez apporter des mises à jour à votre ensemble concurrentiel tous les 15\xa0jours afin de suivre le rythme des évolutions du marché.', 'Vous pouvez personnaliser votre ensemble concurrentiel ici.\xa0']"
52,['Quelles stratégies puis-je utiliser pour limiter les relogements\xa0?'],"['Découvrez comment éviter les relogements dans Partner Central. Pour éviter les arrivées le jour même, vous pouvez choisir de définir une date limite de réservation autorisée, afin de spécifier combien de jours à l’avance les voyageurs doivent réserver leur séjour dans votre hébergement. En cliquant ici, vous saurez comment procéder.\xa0Veillez toujours à fermer les types de chambres non disponibles à la réservation et à mettre à jour le statut de votre hébergement pour indiquer les fermetures inattendues.']"
53,['Comment pouvez-vous m’aider à gagner du temps au quotidien\xa0?'],"['Nous pouvons vous aider à gagner du temps de nombreuses manières. Vous pouvez par exemple télécharger les données d’inventaire et de disponibilité de vos chambres par lots pour apporter rapidement des mises à jour sur plusieurs types de chambres.\xa0 Consultez nos instructions étape par étape pour en savoir plus. Vous avez également la possibilité de vous connecter, afin que les tarifs et disponibilités de votre hébergement soient automatiquement mis à jour sur l’ensemble des sites de voyage avec lesquels vous travaillez. Pour en savoir plus sur ce sujet, cliquez ici.\xa0']"
54,['Comment puis-je déterminer la force de mon offre\xa0?'],['Vos facteurs de visibilité dans Partner\xa0Central indiquent quels éléments contribuent à la force de votre offre. Notre outil vous signale notamment les informations manquantes et les différences de tarifs pour ne perdre aucune occasion de mettre votre hébergement en valeur auprès des voyageurs et d’améliorer votre classement. Obtenez plus d’informations à propos des facteurs de visibilité ici.']
